id,name,symbol,price_eur,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,max_supply,circulating_supply,infinite_supply
3408,USDC,USDC,0.9254344452945924,-0.00341086,0.00285388,0.0001112,2024-10-24T14:09:58.000Z,,34315464235.01665,False
52,XRP,XRP,0.4901941549756801,-0.01256631,0.41477841,-3.50897403,2024-10-24T14:09:58.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.1315792124678129,2.01071286,1.72370571,17.51665885,2024-10-24T14:09:58.000Z,,146501006383.70526,True
1958,TRON,TRX,0.1511816944088685,-0.1489929,2.02005802,2.23445808,2024-10-24T14:09:58.000Z,,86496600841.3401,True
11419,Toncoin,TON,4.777385673152394,-0.10569393,0.15121365,-0.36134498,2024-10-24T14:09:58.000Z,,2541371625.008429,True
1,Bitcoin,BTC,62581.07164549788,0.32713733,1.750501,1.24759014,2024-10-24T14:11:05.000Z,21000000.0,19772321.0,False
1027,Ethereum,ETH,2333.013472684041,-0.18663503,-1.8037445,-2.62396693,2024-10-24T14:11:05.000Z,,120395817.92064533,True
825,Tether USDt,USDT,0.924165941172986,-0.02000883,-0.02607866,-0.07653373,2024-10-24T14:11:05.000Z,,120221667386.65292,True
1839,BNB,BNB,546.1226987686198,-0.1978819,1.10827766,-0.03399015,2024-10-24T14:11:05.000Z,,145931278.467175,False
5426,Solana,SOL,161.9458264260891,0.50837356,4.30345291,15.56553164,2024-10-24T14:11:05.000Z,,470101272.9263125,True
3408,USDC,USDC,0.9249454790668618,-0.02221037,0.0026236,-0.02602646,2024-10-24T14:11:05.000Z,,34315464235.01665,False
52,XRP,XRP,0.48970960352236,-0.02226194,0.3922365,-3.50975441,2024-10-24T14:11:05.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.1315226290418508,2.01071286,1.72370571,17.51665885,2024-10-24T14:11:05.000Z,,146501006383.70526,True
1958,TRON,TRX,0.1510913199629391,-0.17588584,2.01608363,2.22428457,2024-10-24T14:11:05.000Z,,86496600841.3401,True
11419,Toncoin,TON,4.773134102527084,-0.15284134,0.1955869,-0.30079902,2024-10-24T14:11:05.000Z,,2541371625.008429,True
1,Bitcoin,BTC,62550.43367789911,0.26083532,1.64865248,1.31988722,2024-10-24T14:12:05.000Z,21000000.0,19772321.0,False
1027,Ethereum,ETH,2332.08702113607,-0.20085334,-1.88288443,-2.57377496,2024-10-24T14:12:05.000Z,,120395817.92064533,True
825,Tether USDt,USDT,0.9243354379222828,-0.00077808,-0.01499549,-0.06496682,2024-10-24T14:12:05.000Z,,120221667386.65292,True
1839,BNB,BNB,546.1359057996225,-0.18618813,1.09962587,-0.00729409,2024-10-24T14:12:05.000Z,,145931278.467175,False
5426,Solana,SOL,161.9429002979991,0.51154581,4.25188979,15.58335296,2024-10-24T14:12:05.000Z,,470101272.9263125,True
3408,USDC,USDC,0.9251053648184524,-0.00626151,0.0092425,-0.00621079,2024-10-24T14:12:05.000Z,,34315464235.01665,False
52,XRP,XRP,0.4897148909947177,-0.03810645,0.39089758,-3.49998342,2024-10-24T14:12:05.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.1312557077327212,1.87035476,1.65175498,17.22884507,2024-10-24T14:12:05.000Z,,146501006383.70526,True
1958,TRON,TRX,0.1510948529445851,-0.1766019,2.01771032,2.22133727,2024-10-24T14:12:05.000Z,,86496600841.3401,True
11419,Toncoin,TON,4.773233799447201,-0.1559153,0.21625532,-0.29139396,2024-10-24T14:12:05.000Z,,2541371625.008429,True
1,Bitcoin,BTC,62652.21838922471,0.33418565,1.71644214,1.21368813,2024-10-24T14:14:05.000Z,21000000.0,19772321.0,False
1027,Ethereum,ETH,2335.5772114806905,-0.14843499,-1.82622893,-2.82108771,2024-10-24T14:14:05.000Z,,120395817.92064533,True
825,Tether USDt,USDT,0.9242753548880904,-0.0043749,-0.03599274,-0.06635458,2024-10-24T14:14:05.000Z,,120221667386.65292,True
1839,BNB,BNB,545.8983795720637,-0.23058849,0.98654014,-0.11470914,2024-10-24T14:14:05.000Z,,145931278.467175,False
5426,Solana,SOL,161.90593136477645,0.4676778,4.00766794,15.47612873,2024-10-24T14:14:05.000Z,,470101272.9263125,True
3408,USDC,USDC,0.9250746321197464,-0.00399429,-0.01542743,-0.00788021,2024-10-24T14:14:05.000Z,,34315464235.01665,False
52,XRP,XRP,0.4896273123750057,-0.07438353,0.28529383,-3.51536583,2024-10-24T14:14:05.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.131217763974346,1.84471449,1.40272985,17.20244399,2024-10-24T14:14:05.000Z,,146501006383.70526,True
1958,TRON,TRX,0.1511234077055373,-0.18726442,2.01747695,2.22610178,2024-10-24T14:14:05.000Z,,86496600841.3401,True
11419,Toncoin,TON,4.772675541549009,-0.15895032,0.10297362,-0.26687634,2024-10-24T14:14:05.000Z,,2541371625.008429,True
1,Bitcoin,BTC,62603.300006987854,0.15222533,1.67275721,1.058585,2024-10-24T14:19:05.000Z,21000000.0,19772321.0,False
1027,Ethereum,ETH,2332.900641606157,-0.34288643,-1.94355196,-3.00250041,2024-10-24T14:19:05.000Z,,120395817.92064533,True
825,Tether USDt,USDT,0.9250051887265136,0.03375079,0.01337747,-0.02653869,2024-10-24T14:19:05.000Z,,120221667386.65292,True
1839,BNB,BNB,546.201166345266,-0.23947783,1.00071955,-0.21201508,2024-10-24T14:19:05.000Z,,145931278.467175,False
5426,Solana,SOL,161.88662930388094,0.12926236,4.01615835,15.19521012,2024-10-24T14:19:05.000Z,,470101272.9263125,True
3408,USDC,USDC,0.9256693103346018,0.01884499,0.0222977,0.01448389,2024-10-24T14:19:05.000Z,,34315464235.01665,False
52,XRP,XRP,0.4897114693135736,-0.12954823,0.28040679,-3.8289354,2024-10-24T14:19:05.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.1313638714504683,1.6888695,1.25084772,16.70359317,2024-10-24T14:19:05.000Z,,146501006383.70526,True
1958,TRON,TRX,0.1511726149473318,-0.15332823,2.00680298,2.14602398,2024-10-24T14:19:05.000Z,,86496600841.3401,True
11419,Toncoin,TON,4.774152586990318,-0.20434069,-0.00019522,-0.46464803,2024-10-24T14:19:05.000Z,,2541371625.008429,True
1,Bitcoin,BTC,62696.75880214744,-0.24379591,1.90124496,0.81402601,2024-10-24T14:59:05.000Z,21000000.0,19772321.0,False
1027,Ethereum,ETH,2336.2884968878216,-0.46339157,-1.51495656,-3.21602469,2024-10-24T14:59:05.000Z,,120395817.92064533,True
825,Tether USDt,USDT,0.925231559510786,-0.0130741,-0.0171494,-0.08052432,2024-10-24T14:59:05.000Z,,120221667386.65292,True
1839,BNB,BNB,547.7988164980825,-0.11598561,1.38624543,-0.05145616,2024-10-24T14:59:05.000Z,,145931276.8767151,False
5426,Solana,SOL,162.73021145305282,-0.06559536,4.86491618,15.69150049,2024-10-24T14:59:05.000Z,,470100724.8507296,True
3408,USDC,USDC,0.925939058036736,-0.02011852,-0.01102278,-0.01947881,2024-10-24T14:59:05.000Z,,34324036506.03699,False
52,XRP,XRP,0.4901588647158145,-0.2388129,0.48527456,-4.12276611,2024-10-24T14:59:05.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.1306100430658424,-0.7632302,1.06821304,15.87902682,2024-10-24T14:59:05.000Z,,146501246383.7052,True
1958,TRON,TRX,0.1511945102769734,-0.21677807,1.98004144,2.06572903,2024-10-24T14:59:05.000Z,,86496600841.3401,True
11419,Toncoin,TON,4.760857117710299,-0.55633521,-0.04770995,-0.87901981,2024-10-24T14:59:05.000Z,,2541782500.488942,True
1,Bitcoin,BTC,63036.41386376895,0.74474083,2.90190511,2.1725665,2024-10-24T19:59:05.000Z,21000000.0,19772418.0,False
1027,Ethereum,ETH,2342.9712166614254,0.48146293,1.11949528,-2.26877086,2024-10-24T19:59:05.000Z,,120395817.92064533,True
825,Tether USDt,USDT,0.9230848874599692,0.02132502,0.08275352,-0.02685319,2024-10-24T19:59:05.000Z,,120221667386.65292,True
1839,BNB,BNB,548.933918572095,0.33071527,2.27842077,0.92824072,2024-10-24T19:59:05.000Z,,145931265.88263744,False
5426,Solana,SOL,163.7599004228448,0.77728314,3.00506484,18.59054483,2024-10-24T19:59:05.000Z,,470095766.5020937,True
3408,USDC,USDC,0.9235488563533588,0.00662315,0.02860356,0.00592421,2024-10-24T19:59:05.000Z,,34436552925.64963,False
52,XRP,XRP,0.4915666226662576,0.22707872,2.1760742,-2.20163355,2024-10-24T19:59:05.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.1314746001398959,1.73292502,2.50549608,14.83839975,2024-10-24T19:59:05.000Z,,146504106383.7052,True
1958,TRON,TRX,0.1516977569188121,-0.15662831,2.85332299,2.84655737,2024-10-24T19:59:05.000Z,,86494716173.36119,True
11419,Toncoin,TON,4.766784281087912,0.21748024,1.0004071,0.19140169,2024-10-24T19:59:05.000Z,,2541791169.753046,True
1,Bitcoin,BTC,62625.30279087441,0.25082471,1.43032042,-0.01488485,2024-10-25T09:58:05.000Z,21000000.0,19772706.0,False
1027,Ethereum,ETH,2344.077602584116,0.84208789,0.69151702,-3.34443159,2024-10-25T09:58:05.000Z,,120397409.21756904,True
825,Tether USDt,USDT,0.9229914269999034,-0.03373676,-0.00628565,-0.07439932,2024-10-25T09:58:05.000Z,,120221667386.65292,True
1839,BNB,BNB,547.6388917353455,0.35591257,0.95286814,-0.71603749,2024-10-25T09:58:05.000Z,,145931237.69629297,False
5426,Solana,SOL,159.72938996398017,0.33671635,0.79585443,12.64352178,2024-10-25T09:58:05.000Z,,470088565.9319127,True
3408,USDC,USDC,0.9236874049653082,0.01033041,-0.0236373,-0.01565477,2024-10-25T09:58:05.000Z,,34423469150.02361,False
52,XRP,XRP,0.4858216618179477,0.27146115,-0.33654445,-4.18257907,2024-10-25T09:58:05.000Z,100000000000.0,56756356815.0,False
74,Dogecoin,DOGE,0.1285636146964117,0.8957267,1.2524513,3.1970279,2024-10-25T09:58:05.000Z,,146512176383.7052,True
1958,TRON,TRX,0.1525380663877079,-0.05962443,1.47542809,3.8528959,2024-10-25T09:58:05.000Z,,86492629824.93614,True
11419,Toncoin,TON,4.72900060338215,0.0300382,0.08168197,-1.65514625,2024-10-25T09:58:05.000Z,,2541815545.0653944,True
1,Bitcoin,BTC,63048.01716652467,0.1356031,0.88290553,-0.15922245,2024-10-25T14:58:05.000Z,21000000.0,19772803.0,False
1027,Ethereum,ETH,2345.995033455003,-0.27342949,0.73765958,-3.78948632,2024-10-25T14:58:05.000Z,,120397409.21756904,True
825,Tether USDt,USDT,0.9226403545957252,0.01601815,0.03989953,-0.01844959,2024-10-25T14:58:05.000Z,,120301926990.84663,True
1839,BNB,BNB,547.1336294930927,0.06022688,0.1990396,-1.09012481,2024-10-25T14:58:05.000Z,,145931221.33979517,False
5426,Solana,SOL,162.11527339405254,0.57576204,-0.05824228,13.79395092,2024-10-25T14:58:05.000Z,,470086947.1197886,True
3408,USDC,USDC,0.9231121360756006,0.01790957,0.01457545,0.02972953,2024-10-25T14:58:05.000Z,,34403150827.529686,False
